K = 8, D = 4, C = 4
config1 =

  scalar structure containing the fields:

    ndisc =  4
    ncont =  4
    nintr = 0


K = 8, Run (1,4,2): fitness => -9.60
K = 8, Run (1,4,3): fitness => -9.60
K = 8, Run (1,4,4): fitness => -9.60
K = 8, Run (1,4,5): fitness => -9.60

K = 8, Run (1,5,1): fitness => -9.60
K = 8, Run (1,5,2): fitness => -9.60
K = 8, Run (1,5,3): fitness => -9.60
K = 8, Run (1,5,4): fitness => -9.60
K = 8, Run (1,5,5): fitness => -9.60

K = 8, Run (1,6,1): fitness => -9.60
K = 8, Run (1,6,2): fitness => -9.60
K = 8, Run (1,6,3): fitness => -9.60
K = 8, Run (1,6,4): fitness => -9.60
K = 8, Run (1,6,5): fitness => -9.60

K = 8, Run (1,7,1): fitness => -9.60
K = 8, Run (1,7,2): fitness => -9.60
K = 8, Run (1,7,3): fitness => -9.60
K = 8, Run (1,7,4): fitness => -9.60
K = 8, Run (1,7,5): fitness => -9.60

K = 8, Run (1,8,1): fitness => -9.60
K = 8, Run (1,8,2): fitness => -9.60
K = 8, Run (1,8,3): fitness => -9.60
K = 8, Run (1,8,4): fitness => -9.60
K = 8, Run (1,8,5): fitness => -9.60

K = 8, Run (1,9,1): fitness => -9.60
K = 8, Run (1,9,2): fitness => -9.60
K = 8, Run (1,9,3): fitness => -9.60
K = 8, Run (1,9,4): fitness => -9.60
K = 8, Run (1,9,5): fitness => -9.60

K = 8, Run (1,10,1): fitness => -9.60
K = 8, Run (1,10,2): fitness => -9.60
K = 8, Run (1,10,3): fitness => -9.60
K = 8, Run (1,10,4): fitness => -9.60
K = 8, Run (1,10,5): fitness => -9.60

K = 8, Run (2,1,1): fitness => -10.10
K = 8, Run (2,1,2): fitness => -9.90
K = 8, Run (2,1,3): fitness => -9.70
K = 8, Run (2,1,4): fitness => -9.57
K = 8, Run (2,1,5): fitness => -9.44

K = 8, Run (2,2,1): fitness => -9.89
K = 8, Run (2,2,2): fitness => -9.74
K = 8, Run (2,2,3): fitness => -9.57
K = 8, Run (2,2,4): fitness => -9.44
K = 8, Run (2,2,5): fitness => -9.44

K = 8, Run (2,3,1): fitness => -9.66
K = 8, Run (2,3,2): fitness => -9.50
K = 8, Run (2,3,3): fitness => -9.44
K = 8, Run (2,3,4): fitness => -9.44
K = 8, Run (2,3,5): fitness => -9.44

K = 8, Run (2,4,1): fitness => -9.44
K = 8, Run (2,4,2): fitness => -9.44
K = 8, Run (2,4,3): fitness => -9.44
K = 8, Run (2,4,4): fitness => -9.44
K = 8, Run (2,4,5): fitness => -9.44

K = 8, Run (2,5,1): fitness => -9.44
K = 8, Run (2,5,2): fitness => -9.44
K = 8, Run (2,5,3): fitness => -9.44
K = 8, Run (2,5,4): fitness => -9.44
K = 8, Run (2,5,5): fitness => -9.44

K = 8, Run (2,6,1): fitness => -9.44
K = 8, Run (2,6,2): fitness => -9.44
K = 8, Run (2,6,3): fitness => -9.44
K = 8, Run (2,6,4): fitness => -9.44
K = 8, Run (2,6,5): fitness => -9.44

K = 8, Run (2,7,1): fitness => -9.44
K = 8, Run (2,7,2): fitness => -9.44
K = 8, Run (2,7,3): fitness => -9.44
K = 8, Run (2,7,4): fitness => -9.44
K = 8, Run (2,7,5): fitness => -9.44

K = 8, Run (2,8,1): fitness => -9.44
K = 8, Run (2,8,2): fitness => -9.44
K = 8, Run (2,8,3): fitness => -9.44
K = 8, Run (2,8,4): fitness => -9.44
K = 8, Run (2,8,5): fitness => -9.44

K = 8, Run (2,9,1): fitness => -9.44
K = 8, Run (2,9,2): fitness => -9.44
K = 8, Run (2,9,3): fitness => -9.44
K = 8, Run (2,9,4): fitness => -9.44
K = 8, Run (2,9,5): fitness => -9.44

K = 8, Run (2,10,1): fitness => -9.44
K = 8, Run (2,10,2): fitness => -9.44
K = 8, Run (2,10,3): fitness => -9.44
K = 8, Run (2,10,4): fitness => -9.44
K = 8, Run (2,10,5): fitness => -9.44

#-9.44

real	0m2.741s
user	0m2.629s
sys	0m0.070s
K = 8, D = 4, C = 4
config1 =

  scalar structure containing the fields:

    ndisc =  4
    ncont =  4
    nintr = 0


K = 8, Run (1,1,1): fitness => -8.06
K = 8, Run (1,1,2): fitness => -7.94
K = 8, Run (1,1,3): fitness => -7.87
K = 8, Run (1,1,4): fitness => -7.85
K = 8, Run (1,1,5): fitness => -7.84

K = 8, Run (1,2,1): fitness => -7.89
K = 8, Run (1,2,2): fitness => -7.86
K = 8, Run (1,2,3): fitness => -7.85
K = 8, Run (1,2,4): fitness => -7.84
K = 8, Run (1,2,5): fitness => -7.84

K = 8, Run (1,3,1): fitness => -7.85
K = 8, Run (1,3,2): fitness => -7.84
K = 8, Run (1,3,3): fitness => -7.84
K = 8, Run (1,3,4): fitness => -7.84
K = 8, Run (1,3,5): fitness => -7.84

K = 8, Run (1,4,1): fitness => -7.84
K = 8, Run (1,4,2): fitness => -7.84
K = 8, Run (1,4,3): fitness => -7.84
K = 8, Run (1,4,4): fitness => -7.84
K = 8, Run (1,4,5): fitness => -7.84

K = 8, Run (1,5,1): fitness => -7.84
K = 8, Run (1,5,2): fitness => -7.84
K = 8, Run (1,5,3): fitness => -7.84
K = 8, Run (1,5,4): fitness => -7.84
K = 8, Run (1,5,5): fitness => -7.84

K = 8, Run (1,6,1): fitness => -7.84
K = 8, Run (1,6,2): fitness => -7.84
K = 8, Run (1,6,3): fitness => -7.84
K = 8, Run (1,6,4): fitness => -7.84
K = 8, Run (1,6,5): fitness => -7.84

K = 8, Run (1,7,1): fitness => -7.84
K = 8, Run (1,7,2): fitness => -7.84
K = 8, Run (1,7,3): fitness => -7.84
K = 8, Run (1,7,4): fitness => -7.84
K = 8, Run (1,7,5): fitness => -7.84

K = 8, Run (1,8,1): fitness => -7.84
K = 8, Run (1,8,2): fitness => -7.84
K = 8, Run (1,8,3): fitness => -7.84
K = 8, Run (1,8,4): fitness => -7.84
K = 8, Run (1,8,5): fitness => -7.84

K = 8, Run (1,9,1): fitness => -7.84
K = 8, Run (1,9,2): fitness => -7.84
K = 8, Run (1,9,3): fitness => -7.84
K = 8, Run (1,9,4): fitness => -7.84
K = 8, Run (1,9,5): fitness => -7.84

K = 8, Run (1,10,1): fitness => -7.84
K = 8, Run (1,10,2): fitness => -7.84
K = 8, Run (1,10,3): fitness => -7.84
K = 8, Run (1,10,4): fitness => -7.84
K = 8, Run (1,10,5): fitness => -7.84

K = 8, Run (2,1,1): fitness => -7.96
K = 8, Run (2,1,2): fitness => -7.91
K = 8, Run (2,1,3): fitness => -7.88
K = 8, Run (2,1,4): fitness => -7.87
K = 8, Run (2,1,5): fitness => -7.87

K = 8, Run (2,2,1): fitness => -7.89
K = 8, Run (2,2,2): fitness => -7.87
K = 8, Run (2,2,3): fitness => -7.87
K = 8, Run (2,2,4): fitness => -7.87
K = 8, Run (2,2,5): fitness => -7.87

K = 8, Run (2,3,1): fitness => -7.87
K = 8, Run (2,3,2): fitness => -7.87
K = 8, Run (2,3,3): fitness => -7.87
K = 8, Run (2,3,4): fitness => -7.87
K = 8, Run (2,3,5): fitness => -7.87

K = 8, Run (2,4,1): fitness => -7.87
K = 8, Run (2,4,2): fitness => -7.87
K = 8, Run (2,4,3): fitness => -7.87
K = 8, Run (2,4,4): fitness => -7.87
K = 8, Run (2,4,5): fitness => -7.87

K = 8, Run (2,5,1): fitness => -7.87
K = 8, Run (2,5,2): fitness => -7.87
K = 8, Run (2,5,3): fitness => -7.87
K = 8, Run (2,5,4): fitness => -7.87
K = 8, Run (2,5,5): fitness => -7.87

K = 8, Run (2,6,1): fitness => -7.87
K = 8, Run (2,6,2): fitness => -7.87
K = 8, Run (2,6,3): fitness => -7.87
K = 8, Run (2,6,4): fitness => -7.87
K = 8, Run (2,6,5): fitness => -7.87

K = 8, Run (2,7,1): fitness => -7.87
K = 8, Run (2,7,2): fitness => -7.87
K = 8, Run (2,7,3): fitness => -7.87
K = 8, Run (2,7,4): fitness => -7.87
K = 8, Run (2,7,5): fitness => -7.87

K = 8, Run (2,8,1): fitness => -7.87
K = 8, Run (2,8,2): fitness => -7.87
K = 8, Run (2,8,3): fitness => -7.87
K = 8, Run (2,8,4): fitness => -7.87
K = 8, Run (2,8,5): fitness => -7.87

K = 8, Run (2,9,1): fitness => -7.87
K = 8, Run (2,9,2): fitness => -7.87
K = 8, Run (2,9,3): fitness => -7.87
K = 8, Run (2,9,4): fitness => -7.87
K = 8, Run (2,9,5): fitness => -7.87

K = 8, Run (2,10,1): fitness => -7.87
K = 8, Run (2,10,2): fitness => -7.87
K = 8, Run (2,10,3): fitness => -7.87
K = 8, Run (2,10,4): fitness => -7.87
K = 8, Run (2,10,5): fitness => -7.87

#-7.84

real	0m2.883s
user	0m2.767s
sys	0m0.067s
K = 8, D = 4, C = 4
config1 =

  scalar structure containing the fields:

    ndisc =  4
    ncont =  4
    nintr = 0


K = 8, Run (1,1,1): fitness => -9.90
K = 8, Run (1,1,2): fitness => -9.85
K = 8, Run (1,1,3): fitness => -9.80
K = 8, Run (1,1,4): fitness => -9.78
K = 8, Run (1,1,5): fitness => -9.77

K = 8, Run (1,2,1): fitness => -9.82
K = 8, Run (1,2,2): fitness => -9.80
K = 8, Run (1,2,3): fitness => -9.78
K = 8, Run (1,2,4): fitness => -9.77
K = 8, Run (1,2,5): fitness => -9.77

K = 8, Run (1,3,1): fitness => -9.79
K = 8, Run (1,3,2): fitness => -9.77
K = 8, Run (1,3,3): fitness => -9.77
K = 8, Run (1,3,4): fitness => -9.77
K = 8, Run (1,3,5): fitness => -9.77

K = 8, Run (1,4,1): fitness => -9.77
K = 8, Run (1,4,2): fitness => -9.77
K = 8, Run (1,4,3): fitness => -9.77
K = 8, Run (1,4,4): fitness => -9.77
K = 8, Run (1,4,5): fitness => -9.77

K = 8, Run (1,5,1): fitness => -9.77
K = 8, Run (1,5,2): fitness => -9.77
K = 8, Run (1,5,3): fitness => -9.77
K = 8, Run (1,5,4): fitness => -9.77
K = 8, Run (1,5,5): fitness => -9.77

K = 8, Run (1,6,1): fitness => -9.77
K = 8, Run (1,6,2): fitness => -9.77
K = 8, Run (1,6,3): fitness => -9.77
K = 8, Run (1,6,4): fitness => -9.77
K = 8, Run (1,6,5): fitness => -9.77

K = 8, Run (1,7,1): fitness => -9.77
K = 8, Run (1,7,2): fitness => -9.77
K = 8, Run (1,7,3): fitness => -9.77
K = 8, Run (1,7,4): fitness => -9.77
K = 8, Run (1,7,5): fitness => -9.77

K = 8, Run (1,8,1): fitness => -9.77
K = 8, Run (1,8,2): fitness => -9.77
K = 8, Run (1,8,3): fitness => -9.77
K = 8, Run (1,8,4): fitness => -9.77
K = 8, Run (1,8,5): fitness => -9.77

K = 8, Run (1,9,1): fitness => -9.77
K = 8, Run (1,9,2): fitness => -9.77
K = 8, Run (1,9,3): fitness => -9.77
K = 8, Run (1,9,4): fitness => -9.77
K = 8, Run (1,9,5): fitness => -9.77

K = 8, Run (1,10,1): fitness => -9.77
K = 8, Run (1,10,2): fitness => -9.77
K = 8, Run (1,10,3): fitness => -9.77
K = 8, Run (1,10,4): fitness => -9.77
K = 8, Run (1,10,5): fitness => -9.77

K = 8, Run (2,1,1): fitness => -10.44
K = 8, Run (2,1,2): fitness => -10.37
K = 8, Run (2,1,3): fitness => -10.30
K = 8, Run (2,1,4): fitness => -10.26
K = 8, Run (2,1,5): fitness => -10.22

K = 8, Run (2,2,1): fitness => -10.36
K = 8, Run (2,2,2): fitness => -10.31
K = 8, Run (2,2,3): fitness => -10.26
K = 8, Run (2,2,4): fitness => -10.22
K = 8, Run (2,2,5): fitness => -10.22

K = 8, Run (2,3,1): fitness => -10.28
K = 8, Run (2,3,2): fitness => -10.23
K = 8, Run (2,3,3): fitness => -10.22
K = 8, Run (2,3,4): fitness => -10.22
K = 8, Run (2,3,5): fitness => -10.22

K = 8, Run (2,4,1): fitness => -10.22
K = 8, Run (2,4,2): fitness => -10.22
K = 8, Run (2,4,3): fitness => -10.22
K = 8, Run (2,4,4): fitness => -10.22
K = 8, Run (2,4,5): fitness => -10.22

